TRACE: [Apr 22 2023 | 17:27:18] Starting the server
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":51,"from_id":1,"sending_date":22042023,"sending_time":1522,"context":"Edited","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":8,"room_id":2,"mode":2,"start_id":51,"count":10000}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":8,"room_id":2,"mode":2,"start_id":51,"count":10000}
TRACE: [Apr 22 2023 | 17:30:13] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:30:13] ID
TRACE: [Apr 22 2023 | 17:30:13] 2
TRACE: [Apr 22 2023 | 17:30:13] Building message array
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":51,"from_id":1,"sending_date":22042023,"sending_time":1522,"context":"Edited","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":51,"from_id":1,"sending_date":22042023,"sending_time":1522,"context":"Edited","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":8,"room_id":1,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":8,"room_id":1,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:30:13] ID
TRACE: [Apr 22 2023 | 17:30:13] 1
TRACE: [Apr 22 2023 | 17:30:13] Building message array
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"},{"id":52,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hey","username":"You"},{"id":48,"from_id":1,"sending_date":22042023,"sending_time":1431,"context":"hi","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"},{"id":52,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hey","username":"You"},{"id":48,"from_id":1,"sending_date":22042023,"sending_time":1431,"context":"hi","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":8,"room_id":1,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":8,"room_id":1,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:30:13] ID
TRACE: [Apr 22 2023 | 17:30:13] 1
TRACE: [Apr 22 2023 | 17:30:13] Building message array
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"},{"id":52,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hey","username":"You"},{"id":48,"from_id":1,"sending_date":22042023,"sending_time":1431,"context":"hi","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"},{"id":52,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hey","username":"You"},{"id":48,"from_id":1,"sending_date":22042023,"sending_time":1431,"context":"hi","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":53,"count":10000}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":8,"room_id":1,"mode":2,"start_id":53,"count":10000}
TRACE: [Apr 22 2023 | 17:30:13] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:30:13] ID
TRACE: [Apr 22 2023 | 17:30:13] 1
TRACE: [Apr 22 2023 | 17:30:13] Building message array
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":8,"room_id":1,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":8,"room_id":1,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:30:13] ID
TRACE: [Apr 22 2023 | 17:30:13] 1
TRACE: [Apr 22 2023 | 17:30:13] Building message array
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"},{"id":52,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hey","username":"You"},{"id":48,"from_id":1,"sending_date":22042023,"sending_time":1431,"context":"hi","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"},{"id":52,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hey","username":"You"},{"id":48,"from_id":1,"sending_date":22042023,"sending_time":1431,"context":"hi","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":8,"room_id":1,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":8,"room_id":1,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:30:13] ID
TRACE: [Apr 22 2023 | 17:30:13] 1
TRACE: [Apr 22 2023 | 17:30:13] Building message array
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"},{"id":52,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hey","username":"You"},{"id":48,"from_id":1,"sending_date":22042023,"sending_time":1431,"context":"hi","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"},{"id":52,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hey","username":"You"},{"id":48,"from_id":1,"sending_date":22042023,"sending_time":1431,"context":"hi","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":8,"room_id":1,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":8,"room_id":1,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:30:13] ID
TRACE: [Apr 22 2023 | 17:30:13] 1
TRACE: [Apr 22 2023 | 17:30:13] Building message array
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"},{"id":52,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hey","username":"You"},{"id":48,"from_id":1,"sending_date":22042023,"sending_time":1431,"context":"hi","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"},{"id":52,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hey","username":"You"},{"id":48,"from_id":1,"sending_date":22042023,"sending_time":1431,"context":"hi","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":8,"room_id":1,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":8,"room_id":1,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:30:13] ID
TRACE: [Apr 22 2023 | 17:30:13] 1
TRACE: [Apr 22 2023 | 17:30:13] Building message array
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"},{"id":52,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hey","username":"You"},{"id":48,"from_id":1,"sending_date":22042023,"sending_time":1431,"context":"hi","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"},{"id":52,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hey","username":"You"},{"id":48,"from_id":1,"sending_date":22042023,"sending_time":1431,"context":"hi","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":53,"count":10000}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":8,"room_id":1,"mode":2,"start_id":53,"count":10000}
TRACE: [Apr 22 2023 | 17:30:13] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:30:13] ID
TRACE: [Apr 22 2023 | 17:30:13] 1
TRACE: [Apr 22 2023 | 17:30:13] Building message array
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":8,"room_id":1,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":8,"room_id":1,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:30:13] ID
TRACE: [Apr 22 2023 | 17:30:13] 1
TRACE: [Apr 22 2023 | 17:30:13] Building message array
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"},{"id":52,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hey","username":"You"},{"id":48,"from_id":1,"sending_date":22042023,"sending_time":1431,"context":"hi","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"},{"id":52,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hey","username":"You"},{"id":48,"from_id":1,"sending_date":22042023,"sending_time":1431,"context":"hi","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":53,"count":10000}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":8,"room_id":1,"mode":2,"start_id":53,"count":10000}
TRACE: [Apr 22 2023 | 17:30:13] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:30:13] ID
TRACE: [Apr 22 2023 | 17:30:13] 1
TRACE: [Apr 22 2023 | 17:30:13] Building message array
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":53,"from_id":1,"sending_date":22042023,"sending_time":1532,"context":"Hi","username":"You"}],"deleted":[],"edited":[],"rtype":12}
